Country name,2018,2019,2020,2021,2022,2023,2024
Madagascar,3.774,4.165599823,4.165599823,4.208,,4.019,4.228
Malawi,3.587,3.538000107,3.538000107,3.6,3.75,3.495,3.421
Malaysia,6.322,5.384300232,5.384300232,5.384,5.711,6.012,5.975
Mali,4.447,4.729300022,4.729300022,4.723,4.479,4.198,4.232
Malta,6.627,6.772799969,6.772799969,6.602,6.447,6.3,6.346
Mauritania,4.356,4.374599934,4.374599934,4.227,,4.724,4.505
Mauritius,5.891,6.101299763,6.101299763,6.049,6.071,5.902,5.816
Mexico,6.488,6.465000153,6.465000153,6.317,6.128,6.33,6.678
Moldova,5.64,5.607500076,5.607500076,5.766,5.857,5.819,5.816
Mongolia,5.125,5.456200123,5.456200123,5.677,5.761,5.84,5.696
Montenegro,5.347,5.54610014,5.54610014,5.581,5.547,5.722,5.707
Morocco,5.254,5.094799995,5.094799995,4.918,5.06,4.903,4.795
Mozambique,4.417,4.623600006,4.623600006,4.794,5.048,4.954,5.216
Myanmar,4.308,4.308000088,4.308000088,4.426,4.394,4.372,4.354
Namibia,4.441,4.571100235,4.571100235,4.574,4.459,4.631,4.832
Nepal,4.88,5.137199879,5.137199879,5.269,5.377,5.36,5.158
Netherlands,7.441,7.448900223,7.448900223,7.464,7.415,7.403,7.319
New Zealand,7.324,7.299600124,7.299600124,7.277,7.2,7.123,7.029
Nicaragua,6.141,6.13710022,6.13710022,5.972,6.165,6.259,6.284
Niger,4.166,4.909599781,4.909599781,5.074,,4.501,4.556
Nigeria,5.155,4.724100113,4.724100113,4.759,4.552,4.981,4.881
Norway,7.594,7.487999916,7.487999916,7.392,7.365,7.315,7.302
Pakistan,5.472,5.69329977,5.69329977,4.934,4.516,4.555,4.657
Panama,6.43,6.304800034,6.304800034,6.18,6.309,6.265,6.358
Paraguay,5.681,5.692100048,5.692100048,5.653,5.578,5.738,5.977
Peru,5.663,5.796800137,5.796800137,5.84,5.559,5.526,5.841
Philippines,5.524,6.006000042,6.006000042,5.88,5.904,5.523,6.048
Poland,6.123,6.186299801,6.186299801,6.166,6.123,6.26,6.442
Portugal,5.41,5.910900116,5.910900116,5.929,6.016,5.968,6.03
Romania,5.945,6.123700142,6.123700142,6.14,6.477,6.589,6.491
Russia,5.81,5.546000004,5.546000004,5.477,5.459,5.661,5.785
Saudi Arabia,6.371,6.406499863,6.406499863,6.494,6.523,6.463,6.594
Senegal,4.631,4.980800152,4.980800152,5.132,5.046,4.855,4.969
Serbia,5.398,5.77820015,5.77820015,6.078,6.178,6.144,6.411
Sierra Leone,4.571,3.926399946,3.926399946,3.849,3.574,3.138,3.245
Singapore,6.343,6.377099991,6.377099991,6.377,6.48,6.587,6.523
Slovakia,6.173,6.280600071,6.280600071,6.331,6.391,6.469,6.257
Slovenia,5.948,6.363399982,6.363399982,6.461,6.63,6.65,6.743
South Africa,4.724,4.814099789,4.814099789,4.956,5.194,5.275,5.422
South Korea,5.875,5.872399807,5.872399807,5.845,5.935,5.951,6.058
Spain,6.31,6.400899887,6.400899887,6.491,6.476,6.436,6.421
Sri Lanka,4.471,4.327000141,4.327000141,4.325,4.362,4.442,3.898
Sweden,7.314,7.353499889,7.353499889,7.363,7.384,7.395,7.344
Switzerland,7.487,7.559899807,7.559899807,7.571,7.512,7.24,7.06
Tajikistan,5.199,5.555699825,5.555699825,5.466,5.377,5.33,5.281
Tanzania,3.303,3.476200104,3.476200104,3.623,3.702,3.694,3.781
Thailand,6.072,5.998799801,5.998799801,5.985,5.891,5.843,5.976
Togo,3.999,4.187200069,4.187200069,4.107,4.112,4.137,4.214
Tunisia,4.592,4.392199993,4.392199993,4.596,4.516,4.497,4.422
Uganda,4.161,4.43200016,4.43200016,4.636,4.603,4.432,4.372
Ukraine,4.103,4.56069994,4.56069994,4.875,5.084,5.071,4.873
United Arab Emirates,6.774,6.790800095,6.790800095,6.561,6.576,6.571,6.733
United Kingdom,7.19,7.164500237,7.164500237,7.064,6.943,6.796,6.749
United States,6.886,6.939599991,6.939599991,6.951,6.977,6.894,6.725
Uruguay,6.379,6.440100193,6.440100193,6.431,6.474,6.494,6.611
Uzbekistan,6.096,6.257599831,6.257599831,6.179,6.063,6.014,6.195
Venezuela,4.806,5.053199768,5.053199768,4.892,4.925,5.211,5.607
Vietnam,5.103,5.353499889,5.353499889,5.411,5.485,5.763,6.043
Yemen,3.355,3.527400017,3.527400017,3.658,,,3.561
Zambia,4.377,3.759399891,3.759399891,4.073,3.76,3.982,3.502
Zimbabwe,3.692,3.299200058,3.299200058,3.145,2.995,3.204,3.341
